English Terms,中文术语,中文定义,
Forward Swap,远期掉期,为满足投资者特殊投资期要求，而结合两项期限不同掉期的掉期协议,
Free Cash Flow,自由现金流,一家企业在支付持续商业活动及增长的开支后剩余的现金,
Free Cash Flow for the Firm (FCFF) ,企业自由现金流,一家企业的营运收入减开支、税项及周转资金和投资的变动额,
Free Cash Flow per Share,每股自由现金流,评估公司财务灵活性的指标。计算方法为净利润+非现金开支-股息及资本开支，然后除以已发行股票总数,
Fully Valued,已充分反映实值,股价能准确反映公司实力的股份,
Fundamental Analysis,基本面分析,通过计算股票的内在价值评估其价值的方法。基本面分析员研究的范围从总体经济和行业环境以至公司本身的财务状况及管理,
Fund Manager,基金经理,负责投资共同基金旗下资产、执行其投资策略及处理日常投资组合交易的专业人员,
Funded Debt,长期债款、融资债务,一年或以上后到期的长期债务,
Funds From Operations (FFO) ,来自营运现金流,房地产投资信托用来评估来自营运现金流的指标。计算方法为折旧及摊销开支加盈利，有时也会以每股形式出现,
Funds of Funds,基金中的基金,投资于其他共同基金的共同基金,
Fungibility,可互换,上市期权、期货合约及其他金融工具根据相同条款互换的可行性,
Fungibles,可互换物品,可互换的产品、证券或金融工具,
Future Rate Agreement (FRA),期货利率协议,一种远期合约，列明在未来特定生效日开始支付或收取的利率,
Future Value,未来价值,资产或现金在未来特定日期的价值，相等于今天价值的特定总和。,
Futures,期货,包含金融工具或未来交割实物商品销售(一般在商品交易所进行)的金融合约。期货合约对一种指数或商品在未来某一日期的价值_露淖?,
Futures Contract,期货合约,一种在交易所买卖的协议，协议列明在议定的地点和将来时间，买入或卖出特定种类及等级的商品。期货合约可以转让,
Futures Market,期货市场,一种拍卖市场，参与方买入及卖出在未来日期交割的商品/期货合约。交易方在场内高声叫价及利用手势进行交易,
G-5,五大工业国,定期会面，磋商就国际经济及货币问题进行合作的五个重要国家,
G-7,七大工业国,定期会面，磋商就国际经济及货币问题进行合作的七个重要国家,
GAAP,通用会计制度,一套通用的会计原则、标准及程序。通用会计制度结合了权威标准(由多个政策委员会制定)以及广为接受的会计惯例,
GDP,国内生产总值,一个经济体系在特定时期内生产的所有货品及服务的总值，其中包括消费、政府购买、投资及出口减进口,
GNP,全民生产总值,一种经济统计数据，相等于国内生产总值(GDP)加国内人民来自海外投资的收入，减海外人民在国内赚取的收入,
GPM,生产毛利率,原商品的成本与造成制成品后出售赚取的收入之间的差额,
Gain,收益,资产或财产价值的上升，相等于出售资产所得资金与原来买入价格之间的差额,
GDP Deflator ,GDP平减数,在计算GDP时用以平衡通胀的因素，方法为将根据当时价值计算的生产额转换成固定美元的GDP。GDP平减数能显示出基准年GDP的变动受到价格变动影响的程度,
GDP Gap,GDP差距,一个国家的经济体系由于未能为有意就业者创造足够的职位而损失的生产值,
Gearing,本债比,公司资本中附有固定利息的长期资金的比率,
Gearing Ratio,负债比率,指公司资本中债务的比率,
General Agreement of Tariffs and Trade (GATT),关税及贸易总协定,1947年签署的协议，宗旨在于通过减低关税，促进会员国家之间的全球贸易,
General Depreciation System,一般折旧制度,计算折旧的最常用制度。个人财产利用下降折旧法计算折旧，指将折旧率运用在未折旧结余,
General Ledger,总分类账,一家公司的会计记录，包含所有财务帐户及报表,
Generally Accepted Accounting Principles (GAAP),通用会计制度,一套通用的会计原则、标准及程序。通用会计制度结合了权威标准(由多个政策委员会制定)以及广为接受的会计惯例,
General Obligation Bond,一般义务债券,获得发行政府信贷及“征税权力”担保，而不是一个项目的收入的市政债券,
Global Bond,全球债券,同时在欧洲市场及其他多个市场发售的债券,
Global Investment Performance Standards (GIPS),全球投资表现标准,投资经理采用的道德标准，通过制定表现报告确保投资表现结果获得充分的声明与披露,
Global Fund,全球基金,可以投资全球，包括本身国家任何公司的共同基金,
Global Macro Strategy,全球宏观策略,一种对冲基金策略，指持有不同股票、债券、货币及期货市场的卖空和买空头寸。这些投资主要根据对不同国家的总体经济(及政治)看法而做出(宏观经济原则),
Global Registered Share,全球注册股票,在全球多个不同市场发行及注册的股票,
Globalization,全球一体化,全球投资及业务从国家性及地区性转移向全球市场的趋势,
Going Concern,持续经营,指一家公司拥有继续经营所需的资源。若公司不持续经营，即已经破产,
Going Concern Value,持续经营价值,公司通过有形资产及无形资产产生盈利的能力,
Going Public,公开上市,向新投资者发售以往由私人拥有的股份,
Golden Handcuffs,金手铐,向现有员工提供优厚的待遇，以期他们留在公司,
Golden Lifejacket,黄金救生衣,指收购方向被收购公司的高级行政人员提供极为优厚的待遇，吸引他们留任,
Golden Parachute,黄金降落伞,在公司被另一家公司收购时向高级行政人员提供的优厚补偿，以弥补收购导致他们失去工作。这些补偿包括股票期权、奖金、解雇费,
Golden Share,黄金股,给与持有股东对修改公司章程行使否决权的股票,
Goodwill,商誉,资产的收购价值高于公平市场价值的金额。会计师在财务报表中将这个项目纪录为_⑾?,
Government Security,证券担保,地方或国家政府的债务责任，债务由国家的信贷及征税权力作担保，违约风险极低,
Gray Knight,灰武士,一项企业收购中第二家未经要约的出价人。灰武士加入交易的目的在于把握第一出价人与收购目标之间出现问题的时机,
Greenfield Investment,全新投资项目,一家企业或政府投资建设新的项目,
Greenshoe Option,超额认股权,首次公开上市的承销商在需求高的情况下出售更多股份的权力,
Greenspan Put,格林斯潘对策,市场俚语，指联邦储备局主席为防止市场大幅持续下跌采取的行动,
Gross Domestic Product (GDP),国内生产总值,一个经济体系在特定时期内生产的所有货品及服务的总值，其中包括消费、政府购买、投资及出口减进口,
Gross National Product (GNP),全民生产总值,一种经济统计数据，相等于国内生产总值(GDP)加国内人民来自海外投资的收入，减海外人民在国内赚取的收入,
Gross Processing Margin (GPM),生产毛利率,原商品的成本与造成制成品后出售赚取的收入之间的差额,
Gross Sales,总销售额,未计入折扣或退货的销货总额。总销售额是消费者零售机构经常采用的指标,
Gross Spread,总费率,发行公司收到的承销价格与公众支付的实际发行价值之间的差额,
Group of Five (G-5),五大工业国,定期会面，磋商就国际经济及货币问题进行合作的五个重要国家,
Group of Seven (G-7),七大工业国,定期会面，磋商就国际经济及货币问题进行合作的七个重要国家,
Growth At A Reasonable Price (GARP),以合理价格增长,以合理价格增长投资策略结合了价值投资及增长投资两种成功的投资策略。顾名思义，采用以合理价格增长策略的投资者寻找具有增长潜力，但价格合理的股票,
Growth Fund,增长基金,以资本增值为主要目标的多元化股票投资组合，投资于将盈利重新投资于扩展、收购或研发的公司,
Growth Rates,增长率,公司总收入、盈利、股息及其他数据的复合年均增长率,
Growth Stock,增长股票,一家盈利增长预期高于市场平均增长率的公司的股票,
Guaranteed Stock,有担保股票,股息受到保证的普通或优先股,
